Strategy,Position,Trade Price,Trade Time,Eval Time,Status
5MA1,125,,,2020-10-01 14:30:08.702194,0.0
5EMA1,125,,,2020-10-01 14:30:09.561582,
5EMA2,125,,,2020-10-01 14:30:10.389718,
5ST1,125,21817.95,2020-10-01 09:20:09.173190,2020-10-01 14:30:12.077184,1.0
5ST2,125,,,2020-10-01 14:30:13.608436,
15MA1,125,,,2020-10-01 14:30:16.969226,0.0
15MA2,125,,,2020-10-01 14:30:17.437967,
15EMA1,125,,,2020-10-01 14:30:17.875467,
15EMA2,125,,,2020-10-01 14:30:18.203605,
15ST1,125,,,2020-10-01 14:30:19.422340,
15ST2,125,21930.15,2020-10-01 09:30:20.030408,2020-10-01 14:30:20.594210,1.0
30MA1,125,21928.85,2020-10-01 09:45:24.718779,2020-10-01 14:15:24.792657,1.0
30MA2,125,22075.85,2020-10-01 11:15:25.298724,2020-10-01 14:15:25.004672,1.0
30MA3,125,21928.85,2020-10-01 09:45:26.937514,2020-10-01 14:15:25.328669,1.0
30EMA1,125,21995.0,2020-10-01 10:15:26.487787,2020-10-01 14:15:25.550675,1.0
30ST1,125,21928.85,2020-10-01 09:45:33.813946,2020-10-01 14:15:26.792255,1.0
30ST2,125,,,2020-10-01 14:15:27.346255,
60MA1,125,21999.9,2020-10-01 10:15:34.677667,2020-10-01 14:15:34.134248,1.0
60MA2,125,22072.05,2020-10-01 11:15:34.848014,2020-10-01 14:15:34.297251,1.0
60EMA1,125,21999.9,2020-10-01 10:15:37.162063,2020-10-01 14:15:34.549253,1.0
60EMA2,125,21999.9,2020-10-01 10:15:39.193291,2020-10-01 14:15:34.779252,1.0
60ST1,125,21999.9,2020-10-01 10:15:48.554436,2020-10-01 14:15:36.262218,1.0
60ST2,125,,,2020-10-01 14:15:36.788233,
30EMAHL1,100,21928.85,2020-10-01 09:45:29.407711,2020-10-01 14:15:25.773252,1.0
30EMAHL2,100,21928.85,2020-10-01 09:45:31.048340,2020-10-01 14:15:25.958255,1.0
30EMAHL3,100,21995.0,2020-10-01 10:15:28.972173,2020-10-01 14:15:26.157250,1.0
60EMAHL1,100,21999.9,2020-10-01 10:15:40.943293,2020-10-01 14:15:35.078223,1.0
60EMAHL2,100,21999.9,2020-10-01 10:15:43.570053,2020-10-01 14:15:35.454247,1.0
60EMAHL3,100,21999.9,2020-10-01 10:15:46.148161,2020-10-01 14:15:35.794245,1.0
DMA1,-125,,,2020-10-01 09:15:35.573500,
DMA2,-125,,,2020-10-01 09:15:35.698554,
DMA3,-125,,,2020-10-01 09:15:35.823475,
DMA4,-125,,,2020-10-01 09:15:35.932870,
DEMA1,-125,,,2020-10-01 09:15:36.042229,
DEMA2,-125,,,2020-10-01 09:15:36.151605,
DEMA3,-125,,,2020-10-01 09:15:36.260973,
DEMA4,-125,,,2020-10-01 09:15:36.370425,
DEMA5,-125,,,2020-10-01 09:15:36.479730,
DST1,-125,,,2020-10-01 09:15:36.651612,
DST2,-125,,,2020-10-01 09:15:36.807854,
DMAHL1,0,,,2020-10-01 09:15:36.932932,
DMAHL2,0,,,2020-10-01 09:15:37.057851,
DMAHL3,-100,,,2020-10-01 09:15:37.182865,
DEMAHL1,-100,,,2020-10-01 09:15:37.307919,
DEMAHL2,-100,,,2020-10-01 09:15:37.432900,
